"position","const","created","modified","description","Title","Title type","Directors","You rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"1","tt1219289","Fri Nov  7 09:07:24 2014","Fri Nov  7 09:07:24 2014","","Limitless","Feature Film","Neil Burger","","7.4","105","2011","mystery, sci_fi, thriller","420689","2011-03-08","http://www.imdb.com/title/tt1219289/"
"2","tt0034583","Fri Nov  7 09:09:15 2014","Fri Nov  7 09:09:15 2014","","Casablanca","Feature Film","Michael Curtiz","","8.6","102","1942","drama, romance, war","388756","1942-11-26","http://www.imdb.com/title/tt0034583/"
"3","tt2015381","Mon Nov 10 21:32:37 2014","Mon Nov 10 21:32:37 2014","","Guardians of the Galaxy","Feature Film","James Gunn","","8.1","121","2014","action, adventure, sci_fi","687324","2014-07-21","http://www.imdb.com/title/tt2015381/"
"4","tt0104652","Mon Nov 10 21:32:54 2014","Mon Nov 10 21:32:54 2014","","Kurenai no buta","Feature Film","Hayao Miyazaki","","7.8","94","1992","animation, adventure, comedy, fantasy, romance","47933","1992-07-18","http://www.imdb.com/title/tt0104652/"
"5","tt0092067","Mon Nov 10 21:33:17 2014","Mon Nov 10 21:33:17 2014","","Tenkû no shiro Rapyuta","Feature Film","Hayao Miyazaki","","8.1","125","1986","animation, adventure, family, fantasy","99950","1986-08-02","http://www.imdb.com/title/tt0092067/"
"6","tt0108052","Mon Nov 10 21:34:36 2014","Mon Nov 10 21:34:36 2014","","Schindler's List","Feature Film","Steven Spielberg","","8.9","195","1993","biography, drama, history","868464","1993-11-30","http://www.imdb.com/title/tt0108052/"
"7","tt0114746","Mon Nov 10 21:43:07 2014","Mon Nov 10 21:43:07 2014","","Twelve Monkeys","Feature Film","Terry Gilliam","","8.1","129","1995","mystery, sci_fi, thriller","464256","1995-12-27","http://www.imdb.com/title/tt0114746/"
"8","tt0061722","Mon Nov 10 21:56:24 2014","Mon Nov 10 21:56:24 2014","","The Graduate","Feature Film","Mike Nichols","","8.0","106","1967","comedy, drama, romance","211239","1967-12-21","http://www.imdb.com/title/tt0061722/"
"9","tt0071315","Mon Nov 10 21:56:48 2014","Mon Nov 10 21:56:48 2014","","Chinatown","Feature Film","Roman Polanski","","8.2","130","1974","drama, mystery, thriller","216925","1974-06-20","http://www.imdb.com/title/tt0071315/"
"10","tt2219564","Fri Jan  9 02:30:55 2015","Fri Jan  9 02:30:55 2015","","Cousin Ben Troop Screening with Jason Schwartzman","Short Film","Wes Anderson","","6.9","2","2012","comedy","1123","2012-06-19","http://www.imdb.com/title/tt2219564/"
"11","tt2937898","Sun Apr  5 21:51:37 2015","Sun Apr  5 21:51:37 2015","","A Most Violent Year","Feature Film","J.C. Chandor","","7.0","125","2014","action, crime, drama, thriller","46117","2014-11-06","http://www.imdb.com/title/tt2937898/"
"12","tt2321549","Thu Sep 24 23:19:20 2015","Thu Sep 24 23:19:20 2015","","The Babadook","Feature Film","Jennifer Kent","","6.8","93","2014","drama, fantasy, horror","114608","2014-01-17","http://www.imdb.com/title/tt2321549/"
"13","tt0434409","Thu Sep 24 23:21:41 2015","Thu Sep 24 23:21:41 2015","","V for Vendetta","Feature Film","James McTeigue","","8.2","132","2005","action, drama, thriller","794913","2005-12-11","http://www.imdb.com/title/tt0434409/"
"14","tt0118799","Thu Sep 24 23:21:47 2015","Thu Sep 24 23:21:47 2015","","La vita è bella","Feature Film","Roberto Benigni","","8.6","116","1997","comedy, drama, war","422030","1997-12-20","http://www.imdb.com/title/tt0118799/"
"15","tt0405159","Thu Sep 24 23:25:06 2015","Thu Sep 24 23:25:06 2015","","Million Dollar Baby","Feature Film","Clint Eastwood","","8.1","132","2004","drama, sport","483827","2004-12-05","http://www.imdb.com/title/tt0405159/"
"16","tt0361862","Thu Sep 24 23:25:19 2015","Thu Sep 24 23:25:19 2015","","The Machinist","Feature Film","Brad Anderson","","7.7","101","2004","drama, thriller","282619","2004-01-18","http://www.imdb.com/title/tt0361862/"
"17","tt1931533","Thu Sep 24 23:25:24 2015","Thu Sep 24 23:25:24 2015","","Seven Psychopaths","Feature Film","Martin McDonagh","","7.2","110","2012","comedy, crime","186459","2012-09-07","http://www.imdb.com/title/tt1931533/"
"18","tt1568346","Thu Sep 24 23:25:26 2015","Thu Sep 24 23:25:26 2015","","The Girl with the Dragon Tattoo","Feature Film","David Fincher","","7.8","158","2011","crime, drama, mystery, thriller","331318","2011-12-12","http://www.imdb.com/title/tt1568346/"
"19","tt0110008","Thu Sep 24 23:25:29 2015","Thu Sep 24 23:25:29 2015","","Heisei tanuki gassen ponpoko","Feature Film","Isao Takahata","","7.4","119","1994","animation, comedy, drama, family, fantasy","14710","1994-07-16","http://www.imdb.com/title/tt0110008/"
"20","tt0378947","Thu Sep 24 23:25:34 2015","Thu Sep 24 23:25:34 2015","","Melinda and Melinda","Feature Film","Woody Allen","","6.5","99","2004","comedy, drama, romance","27192","2004-09-17","http://www.imdb.com/title/tt0378947/"
"21","tt0240772","Thu Sep 24 23:25:46 2015","Thu Sep 24 23:25:46 2015","","Ocean's Eleven","Feature Film","Steven Soderbergh","","7.8","116","2001","crime, thriller","404014","2001-12-05","http://www.imdb.com/title/tt0240772/"
"22","tt0093818","Thu Sep 24 23:25:52 2015","Thu Sep 24 23:25:52 2015","","Radio Days","Feature Film","Woody Allen","","7.6","88","1987","comedy","24355","1987-01-24","http://www.imdb.com/title/tt0093818/"
"23","tt1285016","Thu Sep 24 23:25:55 2015","Thu Sep 24 23:25:55 2015","","The Social Network","Feature Film","David Fincher","","7.7","120","2010","biography, drama","481533","2010-09-24","http://www.imdb.com/title/tt1285016/"
"24","tt3278420","Thu Sep 24 23:25:57 2015","Thu Sep 24 23:25:57 2015","","Yearbook","Short Film","Bernardo Britto","","7.6","5","2014","animation, comedy, drama","175","2014-01-17","http://www.imdb.com/title/tt3278420/"
"25","tt0159097","Thu Sep 24 23:26:13 2015","Thu Sep 24 23:26:13 2015","","The Virgin Suicides","Feature Film","Sofia Coppola","","7.2","97","1999","drama, romance","117350","1999-05-19","http://www.imdb.com/title/tt0159097/"
"26","tt0109348","Thu Sep 24 23:26:42 2015","Thu Sep 24 23:26:42 2015","","Bullets Over Broadway","Feature Film","Woody Allen","","7.5","98","1994","comedy, crime","29472","1994-09-06","http://www.imdb.com/title/tt0109348/"
"27","tt0086637","Thu Sep 24 23:26:44 2015","Thu Sep 24 23:26:44 2015","","Zelig","Feature Film","Woody Allen","","7.8","79","1983","comedy","31808","1983-07-15","http://www.imdb.com/title/tt0086637/"
"28","tt0495596","Thu Sep 24 23:26:53 2015","Thu Sep 24 23:26:53 2015","","Gedo senki","Feature Film","Gorô Miyazaki","","6.5","115","2006","animation, adventure, fantasy","23984","2006-07-29","http://www.imdb.com/title/tt0495596/"
"29","tt2140203","Thu Sep 24 23:27:28 2015","Thu Sep 24 23:27:28 2015","","Ookami kodomo no Ame to Yuki","Feature Film","Mamoru Hosoda","","8.2","117","2012","animation, drama, family, fantasy","18858","2012-06-25","http://www.imdb.com/title/tt2140203/"
"30","tt0373469","Thu Sep 24 23:27:38 2015","Thu Sep 24 23:27:38 2015","","Kiss Kiss Bang Bang","Feature Film","Shane Black","","7.6","103","2005","comedy, crime, mystery","176802","2005-05-14","http://www.imdb.com/title/tt0373469/"
"31","tt0047396","Thu Sep 24 23:27:42 2015","Thu Sep 24 23:27:42 2015","","Rear Window","Feature Film","Alfred Hitchcock","","8.5","112","1954","mystery, thriller","317349","1954-08-01","http://www.imdb.com/title/tt0047396/"
"32","tt0089853","Thu Sep 24 23:27:51 2015","Thu Sep 24 23:27:51 2015","","The Purple Rose of Cairo","Feature Film","Woody Allen","","7.8","82","1985","comedy, fantasy, romance","36361","1985-03-01","http://www.imdb.com/title/tt0089853/"
"33","tt0040746","Thu Sep 24 23:27:54 2015","Thu Sep 24 23:27:54 2015","","Rope","Feature Film","Alfred Hitchcock","","8.0","80","1948","crime, drama, film_noir, thriller","96066","1948-08-23","http://www.imdb.com/title/tt0040746/"
"34","tt2388715","Thu Sep 24 23:28:09 2015","Thu Sep 24 23:28:09 2015","","Oculus","Feature Film","Mike Flanagan","","6.5","104","2013","horror, mystery","86194","2013-09-08","http://www.imdb.com/title/tt2388715/"
"35","tt1441395","Thu Sep 24 23:28:18 2015","Thu Sep 24 23:28:18 2015","","Under the Skin","Feature Film","Jonathan Glazer","","6.3","108","2013","drama, horror, sci_fi, thriller","85686","2013-08-29","http://www.imdb.com/title/tt1441395/"
